212.3,سجل  مراقبة  قوائم  أجور  الخبراء  في الميدان الجنائي بالمحاكم الابتدائية
212.3,-   التسييرات القضائية بالمحاكم الابتدائية
213.1,"-   سجل القضايا المدنية (كتابة الضبط – المحاكم  الابتدائية)  (القضايا  المدنية- قضايا   العقار   المحفظ   –   القضايا
الاجتماعية)"
213.2,"-   سجل القضايا المدنية (كتابة الضبط –
المحاكم  الابتدائية) (قضايا العقار غير المحفظ)"
213.3,"-   سجل تقييد القضايا المدنية المستأنفة (القضايا المدنية – قضايا العقار
المحفظ-القضايا الاجتماعية)"
213.4,-   سجل تقييد القضايا المدنية المستأنفة (قضايا الأحوال الشخصية والميراث-  قضايا العقار غير المحفظ)
213.5,-   سجل قضايا حوادث الشغل والأمراض المهنية
213.6,-   سجل تقييد القضايا المدنية (قضاء القرب)
213.7,"-   سجل  تقييد  قضايا  المخالفات  (قضاء
القرب)"
213.8,-   سجل   تقييد   القضايا   المدنية   (قضاء الجماعات والمقاطعات)
213.9,"-   سجل القضايا الرائجة بمكتب (القاضي المقرر السيد ... المستشار المقرر السيد
...)"
213.1,-   سجل  الأحكام  التمهيدية  وإيداع  تقارير الخبراء
213.1,-   سجل خاص بالإشعار بالطلاق
213.1,-   سجل    النيابات    الشرعية    بالمحاكم الابتدائية
213.1,-   سجل مراقبة تصرفات المحاجير
213.1,-   كناش التصرف بالمحاكم الابتدائية
213.2,-   سجلات تضمين الشهادات العدلية (سجل الأملاك العقارية لتضمين الوثائق المتعلقة بالحقوق العينية العقارية – سجل التركات   والوصايا   –   سجل   خاص بتضمين نصوص عقود الزواج – سجل رسوم  الطلاق  –  سجل  باقي  الوثائق/ المختلفة)
213.2,-   كنانيش   الجيب   ومذكرات   الحفظ بالمحاكم الابتدائية
213.2,-   سجل مراقبة الرسوم المخاطب عليها من طرف القاضي المكلف بالتوثيق
213.2,-   سجل الزواج
213.2,-   سجل الطلاق
213.2,"-   سجل قضايا الأسرة
(تطليق- ثبوت زوجية – تعدد – تحجير - حضانة –– بيع عقار قاصر – صلة الرحم -   أحوال شخصية -تصريح بالإهمال)
-   سجل قضايا الأسرة (نفقة)
-   سجل قضايا الأسرة (حالة مدنية)"
213.2,-   سجل  الأوامر  القضائية  المبنية  على طلب بالمحاكم الابتدائية
213.2,-   سجل الأوامر القضائية بالمصادقة على محاضر الصلح
213.2,-   سجل طلبات شهادة الجنسية
213.2,-   سجل طلبات اكتساب الجنسية المغربية
213.3,-   سجل   التبليغات   القضائية   بالمحاكم الابتدائية
213.3,-   السجل   العام   لتقييد   ملفات   التنفيذ بالمحاكم الابتدائية
213.3,-   سجل   إجراءات   الحجز   لدى   الغير بالمحاكم الابتدائية
213.3,"-   سجل    إجراءات    التنفيذ    بالمحاكم الابتدائية  (يمسك  من  طرف  مأمور
الإجراءات)"
213.3,-   سجل   محاضر   البيوعات   القضائية للمنقولات
213.3,-   سجل محاضر الاحتجاج بعدم الوفاء
213.3,-   سجل  تبليغ  الوثائق  بالمحاكم  الابتدائية (يمسك من طرف عون التبليغ)
213.3,-   سجل الإنابات القضائية المدنية
213.3,-   سجل   تقييد   الإفلاسات   والتصفيات القضائية
213.3,-   سجل    التركات    الشاغرة    بالمحاكم الابتدائية
213.4,-   سجل    إيداع    القرارات    التحكيمية بالمحاكم الابتدائية
213.4,"-   سجل  إيداع  وتسجيل  الوثائق  الخاصة بالعقارات غير المحفظة (بيع العقارات
في   طور   الإنجاز   الفصل   618.4 ق.ل.ع)"
213.4,-   سجل تسجيل الأوامر بالحجوز الخاصة بالعقارات غير المحفظة
213.4,-   سجل  إيداع  عقود  الشركات  بالمحاكم الابتدائية
213.4,-   سجل تأسيس الجمعيات
213.4,"-   سجل التعاونيات (سجل ترتيبي – سجل
تحليلي)"
213.4,-   السجل   الخاص   بالتصاريح   بالتبرع بالأعضاء والأنسجة البشرية
213.4,-   سجل وضع توقيعات الموثقين بالمحاكم الابتدائية
213.4,-   سجل وضع توقيعات المحامين بالمحاكم الابتدائية
213.4,-   سجل  تدخل  النيابة  العامة  في  القضايا المدنية
213.5,-   سجل  الأملاك  بكتابة  الضبط  بالمحاكم الابتدائية
213.5,-   سجل محاضر الخسائر والعواريات
214.1,-   سجل قضايا الأحداث
214.2,-   سجل قضايا الأحداث المستأنفة
214.3,-   سجل قضايا الجنايات
214.4,-   سجل القضايا الجنحية
214.5,-   سجل القضايا الجنحية المستأنفة
214.6,"-   سجل    القضايا    المستأنفة    (المكتب
الجنحي)"
214.7,-   السجل العام للغرفة الجنحية
214.8,-   سجل مراقبة الغرفة الجنحية
214.9,-   سجل مراقبة القضايا الجنحية
214.1,-   سجل مراقبة القضايا الجنحية المستأنفة
214.1,-   سجل قضايا العنف ضد النساء
214.1,-   سجل قضايا العنف ضد الأطفال
214.1,-   سجل التقاط المكالمات والاتصالات
214.1,-   سجل الأحداث في وضعية صعبة
214.2,-   سجل الأحداث ضحايا الجنايات والجنح
214.2,-   سجل   الشكايات   والمحاضر  الخاصة بالعنف ضد النساء
214.2,-   سجل   الشكايات   والمحاضر   الخاصة بالعنف ضد الأطفال
214.2,-   كناش أمر بالإفراج بالمحاكم الابتدائية
214.2,-   سجل حماية الحيازة
214.2,-   سجل   سحب   جواز   السفر   وإغلاق الحدود
214.2,-   سجل شكايات المعتقلين
214.2,#NAME?
214.2,-   سجل  الشكايات  والمحاضر  بالمحاكم الابتدائية
214.2,-   سجل الاعتقال الاحتياطي
214.3,-   سجل إحصائي لقضايا المخدرات
214.3,-   سجل تنفيذ العقوبات البدنية
214.3,-   سجل الاكراه البدني في الديون العمومية (الغرامات والضرائب الغير المباشرة)
214.3,-   سجل   الاكراه   البدني   في   الديون الخصوصية
214.3,-   سجل    محاضر    الزيارات    الدورية للمعتقلين
214.3,-   سجل طلبات العفو والإفراج المقيد ورد الاعتبار
